name,year,value,lastvalue,rank
Brazil,1965,55.7001,56.136101,27
Bulgaria,1963,34.382999,30.711599,31
Bulgaria,1962,30.711599,25.952101,31
Bulgaria,1988,84.829002,85.806999,33
Bulgaria,1965,46.276299,42.828499,28
Bulgaria,1987,85.806999,84.909599,33
Bulgaria,1980,86.481102,83.752998,31
Bulgaria,1970,61.192501,66.322098,30
Bulgaria,1958,15.6306,14.3922,38
Bulgaria,1959,19.628,15.6306,35
Bulgaria,1967,55.117599,48.727501,28
Bulgaria,1964,42.828499,34.382999,29
Bulgaria,1973,68.711197,66.749199,29
Bulgaria,1968,59.4814,55.117599,28
Bulgaria,1972,66.749199,64.774597,28
Bulgaria,1975,74.342796,69.799797,29
Bulgaria,1991,57.693501,77.288597,45
Bulgaria,1974,69.799797,68.711197,30
Bulgaria,1956,12.9742,12.0949,36
Bulgaria,1985,83.698097,81.160599,33
Bulgaria,1994,53.552601,56.150299,48
Bulgaria,1996,54.9762,54.3032,49
Bulgaria,1955,12.0949,11.395,36
Bulgaria,1971,64.774597,61.192501,28
Bulgaria,1989,83.906898,84.829002,34
Bulgaria,1978,80.434799,77.142998,30
Bulgaria,1992,55.222599,57.693501,46
Bulgaria,1977,77.142998,74.302803,32
Bulgaria,1953,10.589,9.4310999,37
Bulgaria,1993,56.150299,55.222599,47
Bulgaria,1979,83.752998,80.434799,31
Bulgaria,1990,77.288597,83.906898,35
Bulgaria,1995,54.3032,53.552601,49
Bulgaria,1952,9.4310999,8.1707001,40
Bulgaria,1960,22.2735,19.628,34
Bulgaria,1961,25.952101,22.2735,33
Bulgaria,1983,82.963997,84.315598,33
Bulgaria,1981,82.5914,86.481102,33
Bulgaria,1982,84.315598,82.5914,34
Bulgaria,1966,48.727501,46.276299,29
Bulgaria,1984,81.160599,82.963997,34
Bulgaria,1950,7.4965,7.4965,43
Bulgaria,1954,11.395,10.589,37
Bulgaria,1951,8.1707001,7.4965,42
Bulgaria,1957,14.3922,12.9742,36
Bulgaria,1976,74.302803,74.342796,31
Bulgaria,1969,66.322098,59.4814,27
Bulgaria,1986,84.909599,83.698097,33
Canada,1953,159.35471,159.42059,6
Canada,1952,159.42059,162.6926,6
Canada,1970,336.4028,302.67569,9
Canada,1996,486.19629,470.5423,8
Canada,1974,391.24991,381.01071,9
Canada,1955,167.3972,162.98199,8
Canada,2001,530.50598,539.23438,8
Canada,1950,154.14079,154.14079,6
Canada,1968,298.99341,277.48199,9
Canada,1957,178.642,186.5013,10
Canada,1989,462.36621,446.79501,9
Canada,1951,162.6926,154.14079,6
Canada,1967,277.48199,254.8642,9
Canada,1990,438.1553,462.36621,9
Canada,1991,431.55081,438.1553,9
Canada,1994,459.31561,441.87201,8
Canada,1981,415.9566,435.05649,9
Canada,1987,416.48041,403.33691,10
Canada,1973,381.01071,362.4404,9
Canada,1976,397.0762,382.9147,9
Canada,1964,233.3748,206.4041,10
Canada,2003,559.44427,537.06219,7
Canada,1999,518.61871,509.16641,8
Canada,1958,178.04111,178.642,9
Canada,1961,190.02969,189.5314,10
Canada,1962,202.40669,190.02969,10
Canada,1972,362.4404,343.64999,9
Canada,1979,428.4624,413.37061,9
Canada,1971,343.64999,336.4028,9
Canada,1985,411.8093,409.50391,10
Canada,2011,545.6601,540.34613,9
Canada,2000,539.23438,518.61871,7
Canada,1965,247.7377,233.3748,9
Canada,1960,189.5314,181.3497,10
Canada,1959,181.3497,178.04111,10
Canada,1969,302.67569,298.99341,9
Canada,2009,528.25562,564.28741,9
Canada,1988,446.79501,416.48041,9
Canada,2012,543.02417,545.6601,9
Canada,1978,413.37061,410.53351,9
Canada,1963,206.4041,202.40669,10
Canada,1982,397.03851,415.9566,10
Canada,1980,435.05649,428.4624,9
Canada,1992,442.47351,431.55081,9
Canada,2002,537.06219,530.50598,7
Canada,1975,382.9147,391.24991,9
Canada,2008,564.28741,580.33319,7
Canada,1966,254.8642,247.7377,9
Canada,1993,441.87201,442.47351,9
Canada,1977,410.53351,397.0762,9
Canada,1997,503.2395,486.19629,8
Canada,2004,553.74579,559.44427,7
Canada,2006,551.2984,559.61627,7
Canada,1984,409.50391,391.5137,10
Canada,1986,403.33691,411.8093,10
Canada,1995,470.5423,459.31561,8
Canada,1983,391.5137,397.03851,10
Canada,1956,186.5013,167.3972,8
Canada,2005,559.61627,553.74579,7
Canada,2010,540.34613,528.25562,9
Canada,2007,580.33319,551.2984,7
Canada,1998,509.16641,503.2395,8
Canada,1954,162.98199,159.35471,6
Chile,1957,11.3144,11.6222,45
Chile,2005,60.3027,59.7967,49
Chile,1968,18.264999,16.781099,50
Chile,1950,8.4527998,8.4527998,39
Chile,1999,58.3158,55.340801,47
Chile,1967,16.781099,16.5613,50
Chile,1954,11.0286,10.3032,38
Chile,1952,10.49,9.9843998,36
Chile,1969,18.9209,18.264999,49
Chile,2004,59.7967,54.9888,50
Chile,1953,10.3032,10.49,39
Chile,1965,15.2459,14.9455,49
Chile,1962,13.7144,12.2011,48
Chile,2011,78.272102,71.747002,43
Chile,1958,11.6698,11.3144,44
Chile,2009,67.2864,70.420303,44
Chile,1956,11.6222,11.4647,42
Chile,2010,71.747002,67.2864,43
Chile,2006,61.998501,60.3027,49
Chile,1997,53.8339,46.912601,50
Chile,2007,67.941399,61.998501,44
Chile,1966,16.5613,15.2459,50
Chile,1972,21.108801,21.5215,49
Chile,1963,14.3812,13.7144,48
Chile,1959,11.5929,11.6698,47
Chile,2012,80.000603,78.272102,43
Chile,2000,53.906101,58.3158,50
Chile,1955,11.4647,11.0286,39
Chile,1964,14.9455,14.3812,47
Chile,1970,22.5483,18.9209,48
Chile,2008,70.420303,67.941399,45
Chile,1951,9.9843998,8.4527998,37
Chile,1961,12.2011,11.9446,47
Chile,1960,11.9446,11.5929,47
Chile,1971,21.5215,22.5483,49
China,1956,216.34821,190.8907,6
China,1964,436.56189,436.33481,5
China,2001,3725.5474,3607.5576,2
China,1978,1456.1207,1281.7992,3
China,1957,256.34439,216.34821,6
China,2003,4606.2085,3966.6604,2
China,2010,8159.6831,7612.1519,1
China,1975,1083.4138,933.42761,3
China,2002,3966.6604,3725.5474,2
China,1967,432.87961,522.36548,6
China,1994,2984.8738,2844.2971,2
China,1999,3325.5183,3406.1909,2
China,1953,134.10609,128.22169,10
China,1966,522.36548,475.5835,5
China,1965,475.5835,436.56189,5
China,1963,436.33481,439.99881,5
China,1968,468.54501,432.87961,6
China,1981,1451.0074,1465.2448,3
China,1980,1465.2448,1486.6732,3
China,1958,525.38098,256.34439,5
China,2011,9000.7305,8159.6831,1
China,1961,551.61517,780.08759,5
China,1989,2294.7383,2216.7839,3
China,2004,5320.6348,4606.2085,2
China,1974,933.42761,915.26758,4
China,2000,3607.5576,3325.5183,2
China,1988,2216.7839,2054.958,3
China,1969,576.76489,468.54501,6
China,1990,2349.5039,2294.7383,2
China,1970,770.98621,576.76489,4
China,1984,1738.0051,1597.1283,3
China,1960,780.08759,721.15948,4
China,1971,826.9953,770.98621,4
China,1982,1513.4272,1451.0074,3
China,1992,2615.5977,2479.5967,2
China,2009,7612.1519,7187.6055,1
China,2012,9312.5332,9000.7305,1
China,1973,915.26758,879.76099,5
China,1983,1597.1283,1513.4272,3
China,1996,3335.3225,3258.7788,2
China,1951,101.7236,78.647797,10
China,1979,1486.6732,1456.1207,3
China,1987,2054.958,1907.8151,3
China,1993,2844.2971,2615.5977,2
China,1985,1795.4993,1738.0051,3
China,1976,1134.8771,1083.4138,3
China,1959,721.15948,525.38098,4
China,1962,439.99881,551.61517,5
China,1955,190.8907,161.25999,6
China,1977,1281.7992,1134.8771,3
China,1972,879.76099,826.9953,4
China,1998,3406.1909,3317.7461,2
China,1950,78.647797,78.647797,10
China,1952,128.22169,101.7236,9
China,2008,7187.6055,6994.7158,1
China,1997,3317.7461,3335.3225,2
China,2005,5935.7036,5320.6348,1
China,2007,6994.7158,6529.7783,1
China,2006,6529.7783,5935.7036,1
China,1954,161.25999,134.10609,7
China,1991,2479.5967,2349.5039,2
China,1995,3258.7788,2984.8738,2
China,1986,1907.8151,1795.4993,3
Colombia,1952,8.6359997,8.1707001,44
Colombia,1953,10.7648,8.6359997,36
Colombia,1994,61.078899,59.950001,44
Colombia,1969,26.673901,25.600401,42
Colombia,1963,20.903099,19.155399,41
Colombia,1959,15.594,13.9818,39
Colombia,1954,9.6253004,10.7648,41
Colombia,1957,13.6557,12.6005,38
Colombia,1951,8.1707001,7.5001998,41
Colombia,1978,35.1702,32.6315,46
Colombia,1973,30.244801,28.850599,43
Colombia,1999,62.302898,69.770699,44
Colombia,1956,12.6005,11.9483,37
